Frame,Object Name,x,y,z,q.x,q.y,q.z,q.w,ransac_confidence
0,block,0.1263215778,-0.1071916334,1.3280381083,0.8676097164,-0.0001195281,6.84967551702269E-005,0.4972457754,0.509
0,cube,0.0250015863,-0.1071775641,1.3280163952,0.6134807968,0.6135208375,-0.3516028561,0.3515806104,0.4634
1,block,0.1263126671,-0.1071906259,1.3280384975,0.8676203119,-0.0001317314,7.54926185724143E-005,0.4972272833,0.4216
1,cube,0.0250001228,-0.1071754508,1.328019577,0.6134956738,0.6135060814,-0.3516506218,0.351532625,0.2258
1,cube2,0.1253644232,-0.1502849657,1.3026832982,0.6133176687,0.6136826988,-0.3516973791,0.3514881734,0.453
1,block2,0.0249969588,-0.0561536324,1.2409337616,0.6135061541,0.6134956149,-0.3515989848,0.3515842478,0.3624
2,block,0.1263072525,-0.1071803891,1.3280218735,0.8676230431,-0.0004073206,0.0002319677,0.4972223199,0.4076
2,cube,0.0249595982,-0.1071831419,1.3280258357,0.6133215479,0.6136808106,-0.3516905681,0.351491516,0
2,cube2,0.1252329195,-0.1502633024,1.3026454854,0.6131845113,0.6137989447,-0.3517617999,0.3514530505,0.1956
2,block2,0.0250014373,-0.0561532534,1.2409334399,0.6135105153,0.6134912531,-0.3515727243,0.3516105083,0
2,block3,0.0251129567,-0.1934415218,1.2774343814,0.6828576956,0.6819853856,0.1868106783,-0.1835839641,0.323
2,cube3,0.0249844336,-0.0970909833,1.2118974962,0.6135123616,0.6134894065,-0.3515716615,0.3516115713,0.1536
2,block4,0.1243594785,-0.1927682612,1.2762882905,0.6046748375,0.622202957,-0.3565574668,0.3465524405,0.323
3,block,0.1262828729,-0.1071588404,1.3279843981,0.8676212079,-0.0001923681,0.0001102394,0.4972256937,0.3044
3,cube,0.0248646757,-0.1072276122,1.3281079784,0.614798074,0.6121991274,-0.3508016056,0.3523830161,0
3,cube2,0.1251453025,-0.15007849,1.3023366553,0.611914743,0.6151435705,-0.3524900447,0.3505845167,0.2616
3,block2,0.0250158193,-0.0561705725,1.2409528982,0.613384589,0.61359705,-0.3516700668,0.3515482475,0
3,block3,0.0245502592,-0.1935082677,1.2775621507,0.6829600013,0.681881445,0.1871437676,-0.1832499434,0
3,cube3,0.0250678174,-0.0969833346,1.2117372086,0.6130815779,0.6139126472,-0.3518449409,0.3513507906,0
3,block4,0.1223731743,-0.1908385248,1.2729917395,0.601418653,0.6253630022,-0.3583953248,0.3446295263,0.2904
3,block5,0.0265965226,-0.1360148115,1.1794296024,0.8676755999,-0.0067679347,0.0038575036,0.4970697819,0.4448
3,cube4,0.0254881929,-0.2795484024,1.2265979332,0.6141113389,0.6128894541,-0.3512563933,0.351927161,0.4576
4,block,0.1262640459,-0.1071272283,1.3279304923,0.8676213629,0.0003321658,-0.0001906235,0.4972253252,0.305
4,cube,0.0247713567,-0.1072397262,1.3281278689,0.6148317415,0.6121678425,-0.3508692352,0.3523112859,0
4,cube2,0.1249578766,-0.149905809,1.3020389361,0.6116394232,0.6153514151,-0.3526617475,0.350527522,0.2318
4,block2,0.0250036187,-0.05617782,1.2409806733,0.6133288203,0.6136962764,-0.3517011706,0.3514412114,0
4,block3,0.0240066022,-0.1935238524,1.2775863624,0.6828687775,0.6819732571,0.1868649613,-0.1835325459,0
4,cube3,0.0251728643,-0.0966964719,1.211229135,0.6094210538,0.6175712108,-0.3539339989,0.3492026678,0
4,block4,0.1206792789,-0.1886999259,1.2693264502,0.5996742514,0.6271989999,-0.3592163361,0.3434760991,0
4,block5,0.0255443843,-0.1327879125,1.1739132712,0.8676147085,0.0070292315,-0.0041881094,0.4971697569,0.3664
4,cube4,0.025503915,-0.2795348022,1.2265708639,0.6126885883,0.6143149631,-0.3521479745,0.3510293775,0.4622
4,cube5,0.0241247886,-0.174827113,1.1467662874,0.6025185572,0.6243479147,-0.3578801091,0.3450838987,0.4658
4,cube6,0.1250992249,-0.235172125,1.2497580139,0.6155216833,0.6117602256,-0.3501432635,0.3525367765,0.458
